name,degrees,education,occupations,time_in_space,interests,nationality,age
David M. Brown,Bachelor of Science degree; MD,"BS in Biology (College of William & Mary, 1978); Doctorate in Medicine (Eastern Virginia Medical School, 1982)",United States Navy Captain; NASA Astronaut; Naval Aviator; Flight Surgeon,15 days 22 hours 20 minutes,,United States,46
David M. Walker,Bachelor of Science degree,"Bachelor of Science (United States Naval Academy, 1966)",American naval officer; aviator; fighter pilot; test pilot; NASA astronaut,30d 4h 27m,,United States,56
David Scott,Bachelor of Science degree; Master of Science degree; Engineer in Aeronautics/Astronautics,"Bachelor of Science degree in military science (United States Military Academy, 1954); Master of Science degree in Aeronautics/Astronautics (Massachusetts Institute of Technology, 1962); Engineer in Aeronautics/Astronautics (Massachusetts Institute of Technology, 1962)","Test Pilot; NASA Astronaut; Brigadier General, USAF",22d 18h 54m,,United States,93
Dennis Anthony Tito,Bachelor of Science degree; Master of Science degree; Honorary Doctorate,"Bachelor of Science in astronautics and aeronautics (New York University, 1962); Master of Science in engineering science (Rensselaer Polytechnic Institute, None); Honorary Doctorate of Engineering (Rensselaer Polytechnic Institute, 2002)",Engineer; Entrepreneur; Scientist at NASA Jet Propulsion Laboratory,7d 22h 04m,,United States,85
Dick Scobee,Bachelor of Science degree,"Bachelor of Science in Aerospace Engineering (University of Arizona, 1965)","Pilot; Engineer; Astronaut; Lieutenant Colonel, United States Air Force; Combat Aviator; Air Force Test Pilot",6d 23h 40m,,American,46
Dirk Frimout,Engineer's degree in electrical engineering; Doctor of Philosophy (PhD); Post-doctorate at University of Colorado Laboratory for Atmospheric and Space Physics,"Engineer's degree in electrical engineering (University of Ghent, 1963); PhD in applied physics (University of Ghent, 1970); Post-doctorate (University of Colorado Laboratory for Atmospheric and Space Physics, None)",Astrophysicist; Payload Specialist,8d 22h 09m,running; cycling; walking; traveling; chess,Belgium,84
Dmitri Kondratyev,"Pilot-Engineer; Economist; Yuri A. Gagarin Air Force Academy, 2004","Yak-52 flight training (Alma-Aty Aviation Club, 1986); Pilot-Engineer (Kacha Air Force Pilot School, 1990); Economist (Moscow State University for Economy, Statistics and Computer Science (MESI), 2000); None (Yuri A. Gagarin Air Force Academy, 2004)","Colonel, Russian Air Force; Cosmonaut",159d 7h 17m,computers; karate; economics; fishing,Russia,56
Dominic A. Antonelli,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in aeronautics and astronautics (Massachusetts Institute of Technology, None); Master of Science in aeronautics and astronautics (University of Washington, None)","Commander, USN; Naval Aviator; Landing Signal Officer; NASA Astronaut",24d 13h 58m,,U.S.,58
Dominic L. Pudwill Gorie,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Ocean Engineering (United States Naval Academy, 1979); Master of Science in Aviation Systems (University of Tennessee Space Institute, 1990)","Captain, USN; NASA Astronaut; Naval Aviator; Test Pilot",49d 0h 6m,,United States,68
Don Leslie Lind,Bachelor of Science degree; Doctor of Philosophy (PhD),"Bachelor of Science in Physics (University of Utah, 1953); PhD in High-Energy Nuclear Physics (University of California, Berkeley, 1964)",Scientist; Naval Officer; Aviator; NASA Astronaut,7 days 0 hours 8 minutes,,American,92
Donald A. Thomas,Bachelor of Science degree; Master of Science degree; Doctorate in Materials Science,"Bachelor of Science in Physics (Case Western Reserve University, 1977); Master of Science in Materials Science (Cornell University, 1980); Doctorate in Materials Science (Cornell University, 1982)",Engineer; Astronaut; Senior Member of the Technical Staff at AT&T Bell Laboratories; Adjunct Professor at Trenton State College; Director of Operations for NASA at Gagarin Cosmonaut Training Center; Head of the Willard Hackerman Academy of Mathematics and Science at Towson University,43d 8h 13m,,American,70
Donald E. Williams,Bachelor of Science degree,"Bachelor of Science in mechanical engineering (Purdue University, 1964)",American naval officer; aviator; test pilot; mechanical engineer; NASA astronaut,11d 23h 34m,,United States,
Donald H. Peterson,Bachelor of Science degree; Master of Science degree,"Bachelor of Science (United States Military Academy, 1955); Master of Science (U.S. Air Force Institute of Technology, Air University, 1962)",United States Air Force officer; NASA astronaut; Mission Specialist on STS-6; Flight instructor; Military training officer; Nuclear systems analyst; Fighter pilot,120 hours,,United States,
"Donald Kent ""Deke"" Slayton",Bachelor of Science degree,"Bachelor of Science in Aeronautical Engineering (University of Minnesota, 1949)",American Air Force pilot; Aeronautical engineer; Test pilot; NASA Mercury Seven astronaut; NASA's first Chief of the Astronaut Office; Director of Flight Crew Operations,9 days 1 hour 28 minutes,,United States,
Donald R. McMonagle,Bachelor of Science degree; Master of Science degree; Master's degree,"Bachelor of Science in astronautical engineering (United States Air Force Academy, 1974); Master of Science in mechanical engineering (California State University, Fresno, 1985); Master of Business Administration (University of Michigan Ross School of Business, 2003)","Colonel, USAF; Astronaut; Mission Specialist, NASA; Pilot, NASA; Commander, NASA",25d 5h 34m,,United States,73
Donald Roy Pettit,Bachelor of Science degree; Doctor of Philosophy (PhD),"Bachelor of Science in chemical engineering (Oregon State University, 1978); Ph.D. in chemical engineering (University of Arizona, 1983)",American astronaut; Chemical engineer; Scientist at Los Alamos National Laboratory; Astrophotographer,"590 days, 1 hour, 38 minutes",orbital astrophotography; in-space inventions,American,70
Dong Chen,Doctor's degree in cell and molecular biology,"None (Wuhan University, 1989); Doctor's degree in cell and molecular biology (University of Alabama at Birmingham, 1996); Post-doctoral research (Yale School of Medicine, None)","Immunologist; Dean of School of Medicine, Tsinghua University; Director of the Institute of Immunology, Tsinghua University",,,Chinese,58
Donn F. Eisele,Bachelor of Science degree; Master of Science degree,"Bachelor of Science (United States Naval Academy, 1952); Master of Science in Astronautics (U.S. Air Force Institute of Technology, 1960); MS (Air University, None)",United States Air Force officer; NASA astronaut; Test pilot; Peace Corps country director for Thailand; Sales Manager for Marion Power Shovel; City Commissioner of Wilton Manors,10d 20h 8m,,United States,
Dorothy Metcalf-Lindenburger,Bachelor of Science degree; Teaching Certification; Master of Science degree,"BS Geology (Whitman College, 1997); Teaching Certification (Central Washington University, 1999); MS Geology (University of Washington, 2016)",Science Teacher; Astronaut; Mission Specialist,15 days 2 hours 47 minutes,,United States,50
Doug Hurley,Bachelor of Science degree,"B.S.E. in civil engineering (Tulane University, 1988)","Colonel, USMC; Engineer; Former NASA astronaut; Former Marine Corps pilot",92d 10h 38m,,American,58
Douglas H. Wheelock,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in applied science and engineering (United States Military Academy, 1983); Master of Science in Aerospace Engineering (Georgia Institute of Technology, 1992)","Colonel, USA; Engineer; Astronaut",178d 9h 34m,,USA,65
Duane G. Carey,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Aerospace Engineering and Mechanics (University of Minnesota, 1981); Master of Science in Aerospace Engineering (University of Minnesota, 1982)","Lieutenant Colonel, USAF; NASA astronaut; Pilot",10d 22h 10m,National Space Society; American Motorcyclist Association; Air Force Association,United States,68
Dumitru Prunariu,Aerospace Engineering,"Aerospace Engineering (Politehnica University of Bucharest, 1976)","Aviator; Engineer; Diplomat; Cosmonaut; Major General, Romanian Air Force; Deputy Minister, Ministry of Transportation; Chief, Romanian Civil Aviation Department; President, Romanian Space Agency; Associate Professor, Academy of Economic Studies",7d 20h 42m,,Romania,72
Ed Lu,Bachelor of Science degree; Master of Science degree; Doctor of Philosophy (PhD),"Bachelor of Science (B.S.) in electrical engineering (Cornell University, None); Master of Science (M.S.) in applied physics (Stanford University, 1989); Ph.D. in applied physics (Stanford University, 1989)",Physicist; Former NASA Astronaut; Program Manager at Google; Co-founder and Chairman of B612 Foundation; Chief of Innovative Applications at Liquid Robotics; Chief Technology Officer at Hover Inc.,205d 23h 18m,,United States,62
Ed White,Engineer-Physicist; Aeronautical Engineering,"BS (United States Military Academy, 1952); MS (University of Michigan, 1959)","Lieutenant Colonel, USAF; NASA Astronaut; Aeronautical Engineer; Test Pilot",4d 1h 56m,squash; handball; swimming; golf; photography,U.S.,36
Edgar Mitchell,Bachelor of Science degree; Doctor of Science in Aeronautics and Astronautics,"Bachelor of Science in Industrial Management (Carnegie Institute of Technology, 1952); Bachelor of Science in Aeronautical Engineering (U.S. Naval Postgraduate School, 1961); Doctor of Science in Aeronautics and Astronautics (Massachusetts Institute of Technology, 1964)",United States Navy officer; Aviator; Test pilot; Aeronautical engineer; Ufologist; NASA astronaut,"9 days, 1 minute",handball; tennis; swimming; scuba diving; soaring; consciousness; paranormal phenomena,United States,
Edward Gibson,Bachelor of Science degree; Master of Science degree; Doctor of Philosophy (PhD),"Bachelor of Science in Engineering (University of Rochester, 1959); Master of Science in Engineering (Jet Propulsion) (California Institute of Technology, 1960); PhD in Engineering with a Minor in Physics (California Institute of Technology, 1964)",NASA Astronaut; Pilot; Engineer; Physicist; Senior Research Scientist; Project Manager,84 days 1 hour 15 minutes,swimming; football; track; swimming (for rehabilitation); Boy Scouts of America,U.S.,88
Eileen Collins,Associate degree; Bachelor of Arts degree; Master of Science degree; Master of Arts degree,"Associate degree in mathematics (Corning Community College, 1976); Bachelor of Arts in mathematics and economics (Syracuse University, 1978); Master of Science in operations research (Stanford University, 1986); Master of Arts in space systems management (Webster University, 1989)",Retired NASA astronaut; Air Force colonel; Flight instructor; Test pilot,"36 days, 7 hours, 11 minutes",Astronautics; Aviation; Space exploration,American,68
Ellen Ochoa,Bachelor of Science degree; Master of Science degree; Doctorate in Electrical Engineering,"Bachelor of Science in Physics (San Diego State University, 1980); Master of Science (Stanford University, 1981); Doctorate in Electrical Engineering (Stanford University, 1985)",Engineer; Former Astronaut; Former Director of the Johnson Space Center; Researcher at Sandia National Laboratories; Researcher at NASA Ames Research Center,41d 19h 35m,playing the flute,United States,67
Ellen S. Baker,Bachelor of Science degree; MD; MPH,"Bachelor of Arts in Geology (University at Buffalo, 1974); Doctorate in Medicine (Cornell University, 1978); Master's Degree in Public Health (University of Texas School of Public Health, 1994)",Physician; NASA Astronaut; Chief of the Astronaut Office Education/Medical Branch,28d 14h 31m,,American,72
Ellison Onizuka,Bachelor of Science degree; Master of Science degree,"Bachelor of Science in Aerospace Engineering (University of Colorado, Boulder, 1969); Master of Science in Aerospace Engineering (University of Colorado, Boulder, 1969)","Astronaut; Engineer; U.S. Air Force flight test engineer; Colonel, USAF",3d 1h 33m,FFA; 4-H; Boy Scouts of America,United States,
Eric Allen Boe,Bachelor of Science degree; Master of Science degree,"BS (United States Air Force Academy, 1987); MS (Georgia Institute of Technology, 1997)","United States Air Force fighter pilot; Colonel, USAF; Test Pilot; NASA Astronaut",28d 15h 34m,,United States,60
Ernst Willi Messerschmid,Diplom degree; Doctorate,"Diplom degree (University of Tübingen and Bonn, 1972); Doctorate (University of Tübingen and Bonn, 1976)",Physicist; Astronaut; Professor,7d 00h 44m,,Germany,80
Eugene H. Trinh,Baccalaureate; Bachelor of Science degree; Masters of Science; Masters of Philosophy; Doctorate of Philosophy in Applied Physics,"Baccalaureate (Lycee Michelet, 1968); Bachelor of Science in Mechanical Engineering-Applied Physics (Columbia University, 1972); Masters of Science (Yale University, 1974); Masters of Philosophy (Yale University, 1975); Doctorate of Philosophy in Applied Physics (Yale University, 1977)",Biochemist; Director of the physical sciences research division at NASA; Senior research scientist at the Jet Propulsion Laboratory; Payload Specialist,13 days 19 hours 30 minutes,,American / Vietnamese,75
