name,degrees,education,occupations,time_in_space,interests,nationality,age
Carl J. Meade,"['Bachelor of Science in Electronics Engineering (University of Texas, 1973)', 'Master of Science in Electronics Engineering (California Institute of Technology, 1975)']","[{'institution': 'University of Texas', 'year': 1973, 'qualification': 'Bachelor of Science in Electronics Engineering'}, {'institution': 'California Institute of Technology', 'year': 1975, 'qualification': 'Master of Science in Electronics Engineering'}]","['Colonel, USAF', 'NASA Astronaut', 'Engineering Manager, Northrop Grumman Integrated Systems']",29d 16h 14m,"['woodworking', 'home-built aircraft construction', 'racquetball', 'jogging', 'snow skiing']",U.S.,74.0
Carlos I. Noriega,"['Bachelor of Science degree in computer science (University of Southern California, 1981)', 'Master of Science degree in computer science (Naval Postgraduate School, 1990)', 'Master of Science degree in space systems operations (Naval Postgraduate School, 1990)']","[{'institution': 'University of Southern California', 'year': 1981, 'qualification': 'Bachelor of Science'}, {'institution': 'Naval Postgraduate School', 'year': 1990, 'qualification': 'Master of Science'}, {'institution': 'Naval Postgraduate School', 'year': 1990, 'qualification': 'Master of Science'}]","['Lieutenant Colonel, USMC', 'Astronaut', 'NASA Employee', 'Retired U.S. Marine Corps Lieutenant Colonel', 'Manager, Advanced Projects Office, Constellation Program, Johnson Space Center']",20d 1h 18m,[],American Peruvian,65.0
Catherine Grace Coleman,"['B.S. in Chemistry (Massachusetts Institute of Technology, 1983)', 'Ph.D. in Polymer Science and Engineering (University of Massachusetts Amherst, 1991)']","[{'institution': 'Massachusetts Institute of Technology', 'year': 1983, 'qualification': 'B.S. in Chemistry'}, {'institution': 'University of Massachusetts Amherst', 'year': 1991, 'qualification': 'Ph.D. in Polymer Science and Engineering'}]","['Chemist', 'Engineer', 'Colonel, United States Air Force', 'NASA Astronaut']",180d 4h 0m,"['rowing', 'flute playing']",American,64.0
Charles Camarda,"[""Bachelor's degree in aerospace engineering (Polytechnic Institute of Brooklyn, 1974)"", ""Master's degree in engineering science (George Washington University, 1980)"", 'Doctorate in aerospace engineering (Virginia Polytechnic Institute and State University, 1990)']","[{'institution': 'Polytechnic Institute of Brooklyn', 'year': 1974, 'qualification': ""Bachelor's degree in aerospace engineering""}, {'institution': 'George Washington University', 'year': 1980, 'qualification': ""Master's degree in engineering science""}, {'institution': 'Virginia Polytechnic Institute and State University', 'year': 1990, 'qualification': 'Doctorate in aerospace engineering'}]","['Engineer', 'NASA astronaut', 'Senior Advisor for Engineering Development', 'Senior Advisor for Innovation', 'Mission Specialist', ""Director of Engineering at NASA's Johnson Space Center""]",13d 21h 32m,[],American,73.0
Charles D. Gemar,"['BS in Engineering (United States Military Academy, 1979)']","[{'institution': 'United States Military Academy', 'year': 1979, 'qualification': 'BS in Engineering'}]","['Lieutenant colonel, USA', 'Astronaut']",24d 5h 38m,"['water sports', 'jogging', 'woodworking', 'traveling']",United States,70.0
Charles D. Walker,"['Bachelor of Science in Aeronautical and Astronautical Engineering (Purdue University, 1971)']","[{'institution': 'Purdue University', 'year': 1971, 'qualification': 'Bachelor of Science in Aeronautical and Astronautical Engineering'}]","['Engineer', 'Astronaut', 'Consultant', 'Author', 'Lecturer']",19d 21h 56m,"['photography', 'running', 'hiking', 'scuba diving', 'reading', 'collecting books on space', 'bonsai']",American,77.0
Charles E. Brady Jr.,"['BS (University of North Carolina at Chapel Hill, 1971)', 'MD (Duke University, 1975)']","[{'institution': 'University of North Carolina at Chapel Hill', 'year': 1971, 'qualification': 'BS'}, {'institution': 'Duke University', 'year': 1975, 'qualification': 'MD'}, {'institution': 'University of Tennessee Medical Center', 'year': None, 'qualification': 'Internship'}]","['Physician', 'Captain, USN', 'Astronaut', 'Flight Surgeon']",16d 21h 48m,"['canoeing', 'kayaking', 'tennis', 'biking', 'amateur radio operating']",United States,54.0
Charles Frank Bolden Jr.,"['Bachelor of Science in Electrical Science (United States Naval Academy, 1968)', 'Master of Science in Systems Management (University of Southern California, 1977)']","[{'institution': 'United States Naval Academy', 'year': 1968, 'qualification': 'Bachelor of Science in Electrical Science'}, {'institution': 'University of Southern California', 'year': 1977, 'qualification': 'Master of Science in Systems Management'}]","['Administrator of NASA', 'United States Marine Corps Major General', 'Astronaut', 'Marine Aviator', 'Test Pilot', 'Deputy Commandant of Midshipmen at the Naval Academy']","28 days, 8 hours, 37 minutes",[],United States,79.0
"Charles J., Jr. Precourt",[],[],[],"9 days, 19 hours, 23 minutes, 9 seconds",[],,
Charles L. Veach,"['BS in Engineering Management (United States Air Force Academy, 1966)']","[{'institution': 'Punahou School, Honolulu, Hawaii', 'year': 1962, 'qualification': None}, {'institution': 'United States Air Force Academy', 'year': 1966, 'qualification': 'BS in Engineering Management'}]","['Colonel, USAF', 'Fighter pilot', 'Engineer', 'Research pilot', 'NASA astronaut']",18d 4h 18m,"['surfing', 'bicycling', 'reading', 'activities with his family']",United States,
Charles Moss Duke Jr.,"['Bachelor of Science in Naval Sciences (United States Naval Academy, 1957)', 'Master of Science in Aeronautics and Astronautics (Massachusetts Institute of Technology, 1964)']","[{'institution': 'United States Naval Academy', 'year': 1957, 'qualification': 'Bachelor of Science in Naval Sciences'}, {'institution': 'Massachusetts Institute of Technology', 'year': 1964, 'qualification': 'Master of Science in Aeronautics and Astronautics'}]","['American former astronaut', 'United States Air Force officer', 'Test pilot', 'Brigadier General, USAF']",11d 1h 51m,['Golf'],United States,89.0
Charles O. Hobaugh,"['Bachelor of Science degree in Aerospace Engineering (United States Naval Academy, 1984)']","[{'institution': 'United States Naval Academy', 'year': 1984, 'qualification': 'Bachelor of Science in Aerospace Engineering'}, {'institution': 'University of Tennessee Space Institute', 'year': None, 'qualification': None}]","['Colonel, USMC', 'NASA Astronaut', 'Pilot', 'Commander']",36d 7h 47m,"['weight lifting', 'volleyball', 'boating', 'water skiing', 'snow skiing', 'soccer', 'bicycling', 'running', 'rowing', 'competing in triathlons']",U.S.,63.0
Chiaki Mukai,"['Doctorate in Medicine (Keio University School of Medicine, 1977)', 'Doctorate in Physiology (Keio University School of Medicine, 1988)']","[{'institution': 'Keio University School of Medicine', 'year': 1977, 'qualification': 'Doctorate in Medicine'}, {'institution': 'Keio University School of Medicine', 'year': 1988, 'qualification': 'Doctorate in Physiology'}, {'institution': 'Japan Surgical Society', 'year': 1989, 'qualification': 'Board Certified as a Cardiovascular Surgeon'}]","['Physician', 'Astronaut', 'Assistant Professor of the Department of Cardiovascular Surgery, Keio University', 'Vice President of Tokyo University of Science', 'JAXA Technical Counselor']",23d 15h 39m,"['snow skiing', 'Alpine competitive skiing', 'bass fishing', 'scuba diving', 'tennis', 'golf', 'photography', 'American literature', 'traveling']",Japan,73.0
Chris Austin Hadfield,"['BEng (Royal Military College of Canada)', 'MSc in Aviation Systems (University of Tennessee Space Institute)']","[{'institution': 'Royal Roads Military College', 'year': None, 'qualification': None}, {'institution': 'Royal Military College of Canada', 'year': 1982, 'qualification': 'BEng in Mechanical Engineering'}, {'institution': 'University of Waterloo', 'year': 1982, 'qualification': None}, {'institution': 'University of Tennessee Space Institute', 'year': 1992, 'qualification': 'MSc in Aviation Systems'}]","['Retired Astronaut', 'Engineer', 'Fighter Pilot', 'Musician', 'Writer', 'Professor']","165 days, 16 hours, 18 minutes","['skiing', 'Toronto Maple Leafs']",Canada,66.0
Christa McAuliffe,"[""Bachelor's degree in education and history (Framingham State University, 1970)"", ""Master's degree in education supervision and administration (Bowie State University, 1978)""]","[{'institution': 'Framingham State University', 'year': 1970, 'qualification': ""Bachelor's degree in education and history""}, {'institution': 'Bowie State University', 'year': 1978, 'qualification': ""Master's degree in education supervision and administration""}]","['Teacher', 'Astronaut', 'Payload Specialist']",,[],United States,
Christer Fuglesang,"[""Master's degree in engineering physics (Royal Institute of Technology, 1981)"", 'Doctorate in experimental particle physics (Stockholm University, 1987)']","[{'institution': 'Royal Institute of Technology', 'year': 1981, 'qualification': ""Master's degree in engineering physics""}, {'institution': 'Stockholm University', 'year': 1987, 'qualification': 'Doctorate in experimental particle physics'}]","['Physicist', 'ESA Astronaut']",26d 17h 38m,['Skeptics and atheists'],Sweden,68.0
Christina Koch,"['Bachelor of Science in Electrical Engineering (North Carolina State University, 2001)', 'Bachelor of Science in Physics (North Carolina State University, 2001)', 'Master of Science in Electrical Engineering (North Carolina State University, 2002)']","[{'institution': 'North Carolina State University', 'year': 2001, 'qualification': 'Bachelor of Science in Electrical Engineering'}, {'institution': 'North Carolina State University', 'year': 2001, 'qualification': 'Bachelor of Science in Physics'}, {'institution': 'North Carolina State University', 'year': 2002, 'qualification': 'Master of Science in Electrical Engineering'}]","['Engineer', 'NASA Astronaut', 'Station Chief for American Samoa']","328 days, 13 hours, 58 minutes","['backpacking', 'rock climbing', 'paddling', 'sailing', 'running', 'yoga', 'community service', 'photography', 'surfing', 'travel']",American,46.0
Christopher Ferguson,"['Bachelor of Science in mechanical engineering (Drexel University, 1984)', 'Master of Science in aeronautical engineering (Naval Postgraduate School, 1991)']","[{'institution': 'Drexel University', 'year': 1984, 'qualification': 'Bachelor of Science in mechanical engineering'}, {'institution': 'Naval Postgraduate School', 'year': 1991, 'qualification': 'Master of Science in aeronautical engineering'}]","['Commercial Astronaut for Boeing', 'Retired United States Navy Captain', 'NASA Astronaut']",40d 10h 3m,[],United States,64.0
Christopher John Cassidy,"['Bachelor of Science in Mathematics (United States Naval Academy, 1993)', 'Master of Science in Ocean Engineering (Massachusetts Institute of Technology, 2000)']","[{'institution': 'United States Naval Academy', 'year': 1993, 'qualification': 'Bachelor of Science in Mathematics'}, {'institution': 'Massachusetts Institute of Technology', 'year': 2000, 'qualification': 'Master of Science in Ocean Engineering'}]","['NASA Astronaut', 'Captain, United States Navy', 'United States Navy SEAL', 'President and CEO, National Medal of Honor Museum Foundation']",377d 17h 49m,"['traveling', 'biking', 'camping', 'snow skiing', 'weight lifting', 'running', 'basketball', 'real estate', 'home improvement']",U.S.,55.0
Claude Nicollier,"['Licentiate degree in Physics (University of Lausanne, 1970)', 'Post Diploma degree in Astrophysics (University of Geneva, 1975)']","[{'institution': 'University of Lausanne', 'year': 1970, 'qualification': 'Licentiate degree in Physics'}, {'institution': 'University of Geneva', 'year': 1975, 'qualification': 'Post Diploma degree in Astrophysics'}]","['Professor at the Swiss Federal Institute of Technology in Lausanne', 'Captain, Swiss Air Force', 'DC-9 pilot, Swissair', 'Mission Specialist, ESA/NASA']",42d 12h 05min,[],Swiss,81.0
Curtis Lee Brown Jr.,"['Bachelor of Science in Electrical Engineering (United States Air Force Academy, 1978)']","[{'institution': 'United States Air Force Academy', 'year': 1978, 'qualification': 'Bachelor of Science in Electrical Engineering'}]","['Colonel, USAF', 'NASA Astronaut', 'Airline Pilot']",57d 17h 7m,[],U.S.,69.0
Dafydd Rhys Williams,"['Bachelor of Science in biology (McGill University, 1976)', 'Master of Science in physiology (McGill University, 1983)', 'Doctor of Medicine and Master of Surgery (McGill University, 1983)']","[{'institution': 'McGill University', 'year': 1976, 'qualification': 'Bachelor of Science in biology'}, {'institution': 'McGill University', 'year': 1983, 'qualification': 'Master of Science in physiology'}, {'institution': 'McGill University', 'year': 1983, 'qualification': 'Doctor of Medicine and Master of Surgery'}, {'institution': 'University of Ottawa', 'year': 1985, 'qualification': 'Residency in family medicine'}, {'institution': 'University of Toronto', 'year': 1988, 'qualification': 'Residency in emergency medicine'}]","['Physician', 'Public Speaker', 'Author', 'Retired CSA Astronaut', 'Emergency Physician with Sunnybrook Health Science Centre', 'Assistant Professor of Surgery at University of Toronto', 'Medical Director at Sunnybrook Health Science Centre']","28 days, 15 hours, 47 minutes","['flying', 'scuba diving', 'hiking', 'sailing', 'kayaking', 'canoeing', 'downhill skiing', 'cross-country skiing']",Canada,71.0
Dale Gardner,"['Engineering Physics (University of Illinois at Urbana-Champaign, 1970)']","[{'institution': 'University of Illinois at Urbana-Champaign', 'year': 1970, 'qualification': 'Bachelor of Science in Engineering Physics'}]","['NASA astronaut', 'Naval Flight Officer', 'Captain, USN']",14d 0h 52m,"['snow skiing', 'golfing', 'tennis', 'woodworking', 'photography']",United States,
Daniel C. Burbank,"['BS (United States Coast Guard Academy, 1985)', 'MS Aeronautical Science (Embry-Riddle Aeronautical University)']","[{'institution': 'United States Coast Guard Academy', 'year': 1985, 'qualification': 'BS'}, {'institution': 'Embry-Riddle Aeronautical University', 'year': None, 'qualification': 'MS Aeronautical Science'}]","['Captain, USCG', 'Astronaut', 'Instructor Pilot', 'Professor of Engineering']",188 days,"['licensed amateur radio operator', ""member of the astronaut band 'Max Q'"", 'former member of The Idlers']",American,64.0
