Profile.Astronaut Numbers.Overall,Profile.Astronaut Numbers.Nationwide,Profile.Name,Profile.Gender,Profile.Birth Year,Profile.Nationality,Profile.Military,Profile.Selection.Group,Profile.Selection.Year,Profile.Lifetime Statistics.Mission count,Mission.Role,Mission.Year,Mission.Name,Mission.Vechicles.Ascent,Mission.Vechicles.Orbit,Mission.Vechicles.Decent,Mission.Durations.Mission duration,Profile.Lifetime Statistics.Mission duration,Mission.Durations.EVA duration,Profile.Lifetime Statistics.EVA duration,cleaned_name,international_country,international_gender,international_flights,international_total_flights,international_flight_time,wiki_degrees,wiki_education,wiki_occupations,wiki_time_in_space,wiki_interests,wiki_nationality,wiki_age
17,6,"Young, John W.",male,1930,U.S.,True,1965 NASA group 2,1962,6,commander,1972,Apollo 16,Apollo 16,Apollo 16,Apollo 16,265.85,835.65,20.23,20.23,John W. Young,United States,Man,"Gemini 3 (1965), Gemini 10 (1966), Apollo 10 (1969), Apollo 16 (1972), STS-1 (1981), STS-9 (1983)",6,034:18:41,Bachelor Of Science; Bachelor Of Science Degree In Aeronautical Engineering Fro,"After serving at sea during the
          
           Korean War
          
          he became a naval aviator and graduated from the
          
           U; Tucson: The University of Arizona Press; ^
                    






                     ""John Young Elementary School Homepage""; John Young Elementary School; In May 1953, he received orders to flight school at
           
            Naval Air Station Pensacola",Professor; Naval Aviator; Commander; Lieutenant; Geologist,"835 hours in
                
                 space",,American,1930
17,6,"Young, John W.",male,1930,U.S.,True,1966 NASA group 2,1962,6,commander,1981,STS-1,STS-1,STS-1,STS-1,54.5,835.65,0.0,20.23,John W. Young,United States,Man,"Gemini 3 (1965), Gemini 10 (1966), Apollo 10 (1969), Apollo 16 (1972), STS-1 (1981), STS-9 (1983)",6,034:18:41,Bachelor Of Science; Bachelor Of Science Degree In Aeronautical Engineering Fro,"After serving at sea during the
          
           Korean War
          
          he became a naval aviator and graduated from the
          
           U; Tucson: The University of Arizona Press; ^
                    






                     ""John Young Elementary School Homepage""; John Young Elementary School; In May 1953, he received orders to flight school at
           
            Naval Air Station Pensacola",Professor; Naval Aviator; Commander; Lieutenant; Geologist,"835 hours in
                
                 space",,American,1930
17,6,"Young, John W.",male,1930,U.S.,True,1967 NASA group 2,1962,6,commander,1983,STS-9,STS-9,STS-9,STS-9,240.0,835.65,0.0,20.23,John W. Young,United States,Man,"Gemini 3 (1965), Gemini 10 (1966), Apollo 10 (1969), Apollo 16 (1972), STS-1 (1981), STS-9 (1983)",6,034:18:41,Bachelor Of Science; Bachelor Of Science Degree In Aeronautical Engineering Fro,"After serving at sea during the
          
           Korean War
          
          he became a naval aviator and graduated from the
          
           U; Tucson: The University of Arizona Press; ^
                    






                     ""John Young Elementary School Homepage""; John Young Elementary School; In May 1953, he received orders to flight school at
           
            Naval Air Station Pensacola",Professor; Naval Aviator; Commander; Lieutenant; Geologist,"835 hours in
                
                 space",,American,1930
18,7,"McDivitt, James A.",male,1929,U.S.,True,NASA- 2,1962,2,commander,1965,Gemini 4,Gemini 4,Gemini 4,Gemini 4,97.0,338.0,0.0,0.0,James A. McDivitt,United States,Man,"Gemini 4 (1965), Apollo 9 (1969)",2,014:02:57,"Bachelor Of Science Degree In Aeronautical Engineering Fro; Doctorates""; Bachelor Of Science; Doctorate Degrees In Astronautical Science By The Universit; Bachelor Of Science Degree In","[6]He completed two years at Jackson Junior College (now known asJackson College) inJackson, Michigan, from 1948 to 1950; ^
                  






                   ""Four Days to Earn Doctorates""; [5]He then worked for a year to earn enough money to attendjunior college; James McDivitt Elementary School; - He also has a building, James McDivitt Hall, named after him, on the campus of Jackson College , Jackson, Michigan , where the now closed Michigan Space Center was once housed",Doctor; Commander; Lieutenant; Test Pilot; Colonel,None,"included hunting, fishing, golf, water sports , tennis, and all outdoor activities; included hunting, fishing, golf, water sports , tennis, and all outdoor activities; included hunting, fishing, golf,water sports, tennis, and alloutdoor activities",American,1929
18,7,"McDivitt, James A.",male,1929,U.S.,True,NASA- 2,1962,2,commander,1969,Apollo 9,Apollo 9,Apollo 9,Apollo 9,241.0,338.0,0.0,0.0,James A. McDivitt,United States,Man,"Gemini 4 (1965), Apollo 9 (1969)",2,014:02:57,"Bachelor Of Science Degree In Aeronautical Engineering Fro; Doctorates""; Bachelor Of Science; Doctorate Degrees In Astronautical Science By The Universit; Bachelor Of Science Degree In","[6]He completed two years at Jackson Junior College (now known asJackson College) inJackson, Michigan, from 1948 to 1950; ^
                  






                   ""Four Days to Earn Doctorates""; [5]He then worked for a year to earn enough money to attendjunior college; James McDivitt Elementary School; - He also has a building, James McDivitt Hall, named after him, on the campus of Jackson College , Jackson, Michigan , where the now closed Michigan Space Center was once housed",Doctor; Commander; Lieutenant; Test Pilot; Colonel,None,"included hunting, fishing, golf, water sports , tennis, and all outdoor activities; included hunting, fishing, golf, water sports , tennis, and all outdoor activities; included hunting, fishing, golf,water sports, tennis, and alloutdoor activities",American,1929
19,8,"White, Edward H., II",male,1930,U.S.,True,1962 NASA group 2,1962,1,pilot,1965,Gemini 4,Gemini 4,Gemini 4,Gemini 4,97.93,97.93,0.33,0.33,White Edward H. II,,,,,,"B.S. And White Earned His M; Doctorates""; M.S. At The University Of Michigan; Bachelor Of Science; Doctorate Degrees In Astronautical Science By The Universit","Grissom High School
              
              for White's fallen
              
               Apollo 1
              
              crewmates; American Academy of Achievement; - Resting place: West Point Cemetery
- Education: United States Military Academy ( BS ) University of Michigan ( MS )
- Spouse: Patricia Eileen Finegan ​ ​ ( m; ^
                  






                   ""Ed White Elementary School""; - ^""Golden Plate Awardees of the American Academy of Achievement""",Fighter Pilot; Commander; Lieutenant; Test Pilot; Colonel,None,"included
           
            squash
           
           ,
           
            handball; included squash , handball , swimming , golf , and photography; included squash , handball , swimming , golf , and photography",American,1930
20,9,"Conrad, Charles, Jr.",male,1930,U.S.,True,NASA- 2,1962,4,pilot,1965,Gemini 5,Gemini 5,Gemini 5,Gemini 5,191.0,1179.0,0.0,12.77,Conrad Charles Jr.,,,,,,Master Of Arts; Bachelor Of Science; Master Of Arts Degree From Princeton In 1966; An Honorar; Bachelor Of Science Degree In Aeronautical Engineering Fro,"- Conrad's mother refused to believe that her son was unintelligent, and she set about finding him a suitable school; Conrad also served as a flight instructor in Navy flight schools along the Gulf of Mexico; She foundDarrow SchoolinNew Lebanon, New York; Naval Test Pilot School(Class 20), as a project test pilot; He excelled in Navy flight school, and he served for several years as anaircraft carrier-based fighter pilot in the Navy",Fighter Pilot; Naval Aviator; Commander; Test Pilot; General,28 days in space,"included
               
                golf
               
               ,; included golf , water skiing and auto racing , such as formula vee; included golf , water skiing and auto racing , such as formula vee",American,1930
20,9,"Conrad, Charles, Jr.",male,1930,U.S.,True,NASA- 2,1962,4,commander,1966,Gemini 11,Gemini 11,Gemini 11,Gemini 11,71.0,1179.0,0.0,12.77,Conrad Charles Jr.,,,,,,Master Of Arts; Bachelor Of Science; Master Of Arts Degree From Princeton In 1966; An Honorar; Bachelor Of Science Degree In Aeronautical Engineering Fro,"- Conrad's mother refused to believe that her son was unintelligent, and she set about finding him a suitable school; Conrad also served as a flight instructor in Navy flight schools along the Gulf of Mexico; She foundDarrow SchoolinNew Lebanon, New York; Naval Test Pilot School(Class 20), as a project test pilot; He excelled in Navy flight school, and he served for several years as anaircraft carrier-based fighter pilot in the Navy",Fighter Pilot; Naval Aviator; Commander; Test Pilot; General,28 days in space,"included
               
                golf
               
               ,; included golf , water skiing and auto racing , such as formula vee; included golf , water skiing and auto racing , such as formula vee",American,1930
20,9,"Conrad, Charles, Jr.",male,1930,U.S.,True,NASA- 2,1962,4,commander,1969,Apollo 12,Apollo 12,Apollo 12,Apollo 12,244.0,1179.0,7.75,12.77,Conrad Charles Jr.,,,,,,Master Of Arts; Bachelor Of Science; Master Of Arts Degree From Princeton In 1966; An Honorar; Bachelor Of Science Degree In Aeronautical Engineering Fro,"- Conrad's mother refused to believe that her son was unintelligent, and she set about finding him a suitable school; Conrad also served as a flight instructor in Navy flight schools along the Gulf of Mexico; She foundDarrow SchoolinNew Lebanon, New York; Naval Test Pilot School(Class 20), as a project test pilot; He excelled in Navy flight school, and he served for several years as anaircraft carrier-based fighter pilot in the Navy",Fighter Pilot; Naval Aviator; Commander; Test Pilot; General,28 days in space,"included
               
                golf
               
               ,; included golf , water skiing and auto racing , such as formula vee; included golf , water skiing and auto racing , such as formula vee",American,1930
20,9,"Conrad, Charles, Jr.",male,1930,U.S.,True,NASA- 2,1962,4,commander,1973,Skylab 2,Skylab 2,Skylab 2,Skylab 2,673.0,1179.0,5.02,12.77,Conrad Charles Jr.,,,,,,Master Of Arts; Bachelor Of Science; Master Of Arts Degree From Princeton In 1966; An Honorar; Bachelor Of Science Degree In Aeronautical Engineering Fro,"- Conrad's mother refused to believe that her son was unintelligent, and she set about finding him a suitable school; Conrad also served as a flight instructor in Navy flight schools along the Gulf of Mexico; She foundDarrow SchoolinNew Lebanon, New York; Naval Test Pilot School(Class 20), as a project test pilot; He excelled in Navy flight school, and he served for several years as anaircraft carrier-based fighter pilot in the Navy",Fighter Pilot; Naval Aviator; Commander; Test Pilot; General,28 days in space,"included
               
                golf
               
               ,; included golf , water skiing and auto racing , such as formula vee; included golf , water skiing and auto racing , such as formula vee",American,1930
21,10,"Borman, Frank",male,1928,U.S.,True,NASA- 2,1962,2,commander,1965,Gemini 7,Gemini 7,Gemini 7,Gemini 7,330.58,477.0,0.0,0.0,Frank Borman,United States,Man,"Gemini 7 (1965), Apollo 8 (1968)",2,019:21:35,"Doctorates From; Master'S Degree Course That Took Only One Year, And Sett; Bachelor Of Science; Doctorates From Whittier College , The University Of Arizon; Doctorate From Tech""","- ^ ""Honoree: Search Awards: University Honors & Awards""; On graduation, Borman was accepted as one of five students in the first class at the Aerospace Research Pilot School , a postgraduate school for test pilots to prepare them to become astronauts; American Academy of Achievement; He earned aMaster of Sciencedegree atCaltechin 1957, and then became an assistant professor ofthermodynamicsandfluid mechanicsat West Point; His football skills were insufficient to secure an athletic scholarship, and he lacked the political connections to secure an appointment to theUnited States Military AcademyatWest Point",Professor; Fighter Pilot; Commander; Lieutenant; Test Pilot,None,"payments, representing about
              

               6
               
                +; payments, representing about 6 + 1 ⁄ 2 cents in every dollar earned; payments, representing about 6 + 1 ⁄ 2 cents in every dollar earned",American,1928
21,10,"Borman, Frank",male,1928,U.S.,True,NASA- 2,1962,2,commander,1968,Apollo 8,Apollo 8,Apollo 8,Apollo 8,147.0,477.0,0.0,0.0,Frank Borman,United States,Man,"Gemini 7 (1965), Apollo 8 (1968)",2,019:21:35,"Doctorates From; Master'S Degree Course That Took Only One Year, And Sett; Bachelor Of Science; Doctorates From Whittier College , The University Of Arizon; Doctorate From Tech""","- ^ ""Honoree: Search Awards: University Honors & Awards""; On graduation, Borman was accepted as one of five students in the first class at the Aerospace Research Pilot School , a postgraduate school for test pilots to prepare them to become astronauts; American Academy of Achievement; He earned aMaster of Sciencedegree atCaltechin 1957, and then became an assistant professor ofthermodynamicsandfluid mechanicsat West Point; His football skills were insufficient to secure an athletic scholarship, and he lacked the political connections to secure an appointment to theUnited States Military AcademyatWest Point",Professor; Fighter Pilot; Commander; Lieutenant; Test Pilot,None,"payments, representing about
              

               6
               
                +; payments, representing about 6 + 1 ⁄ 2 cents in every dollar earned; payments, representing about 6 + 1 ⁄ 2 cents in every dollar earned",American,1928
22,11,"Lovell, James A., Jr.",male,1928,U.S.,True,NASA- 2,1962,4,pilot,1965,Gemini 7,Gemini 7,Gemini 7,Gemini 7,330.58,715.05,0.0,0.0,Lovell James A. Jr.,,,,,,"Bachelor Of Science Degree And Was Commissioned As An Ensi; Master Extravehicular Activity (Eva), Something That Had; Bachelor Of Science Degree And Was Commissioned As Anensig; Bachelor Of Science Degree And Was Commissioned As An; Phd On The Rendezvous, Used A",", to be near him while he was attending the
           
            United States Naval Academy
           
           in Annapolis,
           
            Maryland; , to be near him while he was attending theUnited States Naval Academyin Annapolis,Maryland; In 1961, he became a flight instructor and safety engineering officer atNaval Air Station OceanainVirginia Beach, Virginia, and completedAviation Safety Schoolat theUniversity of Southern California; They then moved to
           
            Milwaukee, Wisconsin
           
           , and he went to
           
            Juneau High School; American Academy of Achievement",Doctor; Mechanical Engineer; Naval Aviator; Commander; Test Pilot,None,ed in rocketry and built flying models as a teenager; rates; ed in rocketry and built flying models as a teenager,American,1928
